brand,year,model,genes
360,2016,360 MOBILE N4S,2539|73|8879|2302|94|1830|8237|1642|1740|42|8673|4513|7460|1034|2431|7109|7807|9120|4627|11597|1624|7496|4512|11476|1196|4932|1171|6797|11817|87|57|8360|7899|11651|64|1323|54|1617|11200|7992|5281|1585|2740|7700|2410|2233|673|1124|9055|88|1252|1967|9130|4500|1857|5095|7906|13852|5760|1905|4747|2330|30|785|1125|8131|1342|3041|1144|1270|1544|5068|5283|9739|13886|67|1908|7383|8253|98|1297|5241|11096|431|1216|2606|2187|12889|8107|7188|8472|7245|8421|1232|9368|7116|8230|8989|2376|4555|8453|5176|33|2347|14|614|8927|5282|1609|1344|10|8676|8533|2375|1067|8122|2254|883|11489|74|1225|4547|7266|55|1571|7588|1806|2711|56|10752|344|9009|1088|7567|1343|584|4530|6363|1193|8877|7543|2407|41|1589|8224|781|803|7468|7449|7727|2438|2295|1219|19|11304|8813|12453|7444|11037|7961|2737
360,2016,360 MOBILE PHONE F4,94|8237|1740|42|8673|4513|12769|2830|7109|4627|1624|7496|4512|1196|4932|6797|7414|87|57|54|1617|234|5281|1585|2740|1124|9055|1252|1967|4500|5095|7356|8523|4737|1905|4747|2330|30|1125|8131|1342|1144|7093|1270|1544|9433|5283|8853|1908|1297|7999|1216|4686|2187|12889|7188|8402|9577|8421|2959|1232|7116|6118|8989|2376|4555|532|868|5352|2347|614|8927|5282|1609|1344|10569|8533|2375|9270|8122|2254|4704|1225|4547|55|1571|56|1088|10459|7567|633|1343|7790|4530|1193|5139|8877|7147|821|8224|8479|2295|6503|1219|19|10249|12453|5402|4965|2737
360,2016,360 MOBILE PHONE N4,2539|73|2302|94|1830|1642|1740|42|4513|1034|2431|7109|623|4627|2899|11597|1624|4512|12931|1196|4932|1171|6797|13149|87|57|2212|8913|64|1323|54|1617|5281|1585|2740|2233|1124|88|1252|12934|1967|1857|5095|7356|8075|4737|1905|4747|2330|30|11927|6002|1125|1342|6004|1144|1270|1544|1064|12935|5283|13151|6552|900|67|11790|1908|98|1297|13861|11096|13070|1216|4686|2187|12960|7188|8472|4919|13006|1232|9368|7116|13853|2063|13053|8989|2376|4555|532|868|33|5352|2347|14|8927|11851|5282|5535|1609|10|2375|8122|2254|2065|11829|4704|11412|74|1225|13107|4547|7266|55|1571|9975|7588|11506|56|344|1088|7567|1343|4530|1193|5139|7543|755|41|1589|7468|7449|11139|7727|1848|2295|1219|19|8554|8889|2434|11037|11869|4965|2737
360,2016,360 MOBILE PHONE N4S,2539|73|8879|2302|94|1830|8237|1642|1740|42|8673|4513|7460|1034|2431|7109|7807|623|9120|4627|11597|1624|7496|4512|11476|1196|4932|271|121|1171|6797|11817|87|57|8360|7899|11651|64|1323|54|1617|11200|7992|5281|1585|2740|7700|2410|2233|1124|9055|88|1252|1967|9130|4500|1857|5095|7906|13852|7037|5760|1905|4747|2330|30|1125|8131|1342|3041|1144|1270|1544|1064|5068|5283|9739|13886|900|67|1908|7383|8253|98|1297|5241|11096|1216|2606|2187|12889|8107|7188|8472|7245|4919|8421|1232|9368|7116|8230|8989|2376|4555|8453|5176|532|868|33|2347|14|7023|8927|5282|1609|1344|10|8676|8533|2375|1067|8122|2254|11489|7017|74|1225|4547|7266|55|1571|7588|7029|1806|2711|56|10752|344|9009|1088|7567|1343|4530|6363|1193|8877|7543|2407|755|41|1589|8224|7468|7449|7727|2438|2295|1219|19|11304|8813|12453|7444|11037|7961|2737
360,2016,360 MOBILE PHONE Q5,2539|73|2302|94|12317|1740|42|4513|12046|1034|7880|7109|1624|1269|4512|5229|4932|6797|87|57|422|64|54|1617|5281|1585|2740|2233|1124|2766|88|1967|5101|4737|1905|4747|2330|11211|30|12197|1125|261|1342|1144|1270|1544|5283|875|67|1908|98|1216|4686|2187|1062|12889|1232|7116|9853|2376|4555|5176|7268|33|2347|14|614|10723|1609|1344|10|161|2375|4733|2254|7835|883|4704|74|1225|239|4547|55|1571|1316|56|12834|1088|7567|5285|1343|584|4530|6363|1193|5139|41|781|2295|1219|19|2582|622|9260|11037|4965|2737
360,2016,360 MOBILE Q5,2539|73|2302|94|12317|1740|42|4513|12046|1034|7880|7109|1624|1269|4512|5229|4932|6797|87|57|422|64|202|54|1617|5281|1585|2740|2233|1124|2766|88|1967|9486|5095|5101|4737|1905|4747|2330|11211|30|12197|1125|261|1342|1144|1270|1544|5283|875|67|1908|98|1216|4686|2187|1062|12889|1232|9368|7116|2376|4555|5176|7268|33|2347|14|614|1609|1344|10|2375|4733|2254|7835|883|4704|74|1225|239|4547|55|1571|1316|56|12834|1088|7567|5285|1343|584|4530|6363|1193|5139|41|781|2295|1219|19|2582|622|11037|4965|2737
360,2016,360 MOBILE Q5 PLUS,2539|73|2302|94|12317|1740|42|4513|12046|7880|7109|1624|4512|1196|5229|4932|1171|6797|87|57|64|1323|958|54|1617|5281|1585|2740|2233|1124|88|1252|1967|217|5101|4737|1905|4747|2330|11211|30|12197|1125|1342|1144|1270|1544|5283|67|1908|98|1297|1216|4686|2187|1062|12889|612|1232|7116|9853|2376|4555|5176|7268|33|2347|14|1609|1344|10|2375|2916|4922|2254|7835|883|4704|74|1225|4547|55|1571|3033|56|1088|7567|5285|1343|584|4530|6363|1193|5139|41|781|2295|1219|19|472|2582|9260|11037|4965|2737
360,2017,360 MOBILE N6,2539|73|94|1740|42|7109|4627|1624|4512|4932|6797|9327|87|57|5589|64|54|1617|5281|1585|2740|1124|1347|88|1967|1905|4747|30|827|5225|1125|1342|1544|5283|67|1908|98|5573|2606|2187|433|9541|1232|7116|194|2525|6118|38|2376|5176|33|14|7023|5282|1609|10|2375|1067|883|74|135|55|1571|7029|6396|56|2639|1088|1343|584|5139|2407|41|781|19|2971|4965|2737
360,2017,360 MOBILE PHONE F5,94|1830|1642|1740|42|4513|7109|9848|1624|4512|4932|87|57|2993|54|1617|234|5281|1585|1124|1967|1857|1905|30|1125|1342|11930|1544|9433|5182|5283|1908|2187|740|1232|7116|2376|6796|5282|1609|1344|2375|4922|9270|5039|1032|4547|55|1571|56|1088|1343|4530|688|6363|1848|19|8459|11037|513|2737
360,2017,360 MOBILE PHONE N6 PRO,2539|73|2229|94|2201|42|7109|4627|1624|4512|11476|4932|6797|87|57|64|54|1617|5281|1585|2740|11415|5249|1124|1347|9055|88|1967|6086|5095|8523|4737|1905|4747|5233|326|30|6458|1125|8131|1342|1544|5068|5283|11159|67|1908|98|7999|4686|2187|540|5226|13705|7662|8421|1232|7116|194|9536|6118|38|2376|5176|33|6585|14|7023|5282|5084|2232|1609|10|9284|2375|1067|8295|4704|5240|74|2627|135|55|1571|7029|6396|56|1088|1343|584|240|41|8224|781|10776|19|4951|2737|8786
